"","PolicyNum","Year","ClaimBC","ClaimIM","ClaimPN","ClaimPO","ClaimCN","ClaimCO","TypeCity","TypeCounty","TypeMisc","TypeSchool","TypeTown","TypeVillage","IsRC","CoverageBC","lnDeductBC","NoClaimCreditBC","yAvgBC","FreqBC","CoverageIM","lnDeductIM","NoClaimCreditIM","yAvgIM","FreqIM","CoveragePN","NoClaimCreditPN","yAvgPN","FreqPN","CoveragePO","NoClaimCreditPO","yAvgPO","FreqPO","CoverageCN","NoClaimCreditCN","yAvgCN","FreqCN","CoverageCO","NoClaimCreditCO","yAvgCO","FreqCO"
"66",120022,2009,2440.21,0,5652.88,0,1179.02,0,0,1,0,0,0,0,0,26.110607,6.21460809842219,0,2440.21,1,1.027925,6.21460809842219,0,0,0,0.384574,0,5652.88,1,0.98212,1,0,0,0.384574,0,1179.02,1,0.98212,1,0,0
"67",120022,2010,0,0,0,0,0,1,0,1,0,0,0,0,0,27.525078,6.21460809842219,0,0,0,1.038595,6.21460809842219,0,0,0,0.649292,0,0,0,1.00462,1,0,0,0.649292,0,0,0,1.00462,1,1,1
"68",120023,2006,0,0,1341.59,0,0,0,0,1,0,0,0,0,1,44.549513,6.90775527898214,0,0,0,6.047592,7.82404601085629,0,0,0,1.584127,0,1341.59,1,3.554011,0,0,0,1.584127,0,0,0,3.554011,0,0,0
"69",120023,2007,55591.69,0,2342.14,0,25716.37,19730,0,1,0,0,0,0,1,47.874105,6.90775527898214,0,27795.845,2,6.024933,7.82404601085629,0,0,0,1.242004,0,2342.14,1,3.821386,0,0,0,1.242004,0,12858.185,2,3.821386,0,19730,1
"70",120023,2008,57080.39,22261.07,3281.31,0,2187.77,303288.76,0,1,0,0,0,0,1,50.498835,6.90775527898214,0,28540.195,2,5.684376,7.82404601085629,1,22261.07,1,0.958386,0,3281.31,1,4.514146,1,0,0,0.958386,0,2187.77,1,4.514146,0,151644.38,2
"71",120023,2009,0,0,2978.82,3457.33,0,7385.6,0,1,0,0,0,0,1,51.635317,6.90775527898214,0,0,0,5.750851,7.82404601085629,0,0,0,0.904601,0,2978.82,1,4.49671,1,3457.33,1,0.904601,0,0,0,4.49671,0,7385.6,1
"72",120023,2010,16424.49,0,4280.17,0,9969.3,4350,0,1,0,0,0,0,1,65.739367,6.90775527898214,0,8212.245,2,5.99946,7.82404601085629,0,0,0,1.230324,0,4280.17,1,4.961222,0,0,0,1.230324,0,9969.3,1,4.961222,0,4350,1
"73",120024,2009,5432.29,0,2389.85,2292.43,0,2238.6,0,1,0,0,0,0,1,23.731498,9.21034037197618,0,2716.145,2,4.348254,8.51719319141624,0,0,0,0.25195,0,2389.85,1,1.607718,0,2292.43,1,0.25195,0,0,0,3.716902,0,2238.6,1
"74",120024,2010,0,0,200,1048.4,3585.6,0,0,1,0,0,0,0,1,34.840494,8.51719319141624,0,0,0,3.488332,8.51719319141624,0,0,0,0.801281,0,200,1,3.495796,0,1048.4,1,0.801281,0,3585.6,1,2.445223,0,0,0
"75",120025,2006,14327.12,2185.26,16173.96,0,0,0,0,1,0,0,0,0,0,46.048119,6.21460809842219,0,7163.56,2,2.718623,6.21460809842219,0,1092.63,2,0.822771,0,3234.792,5,3.86788,0,0,0,0,0,0,0,0,0,0,0
